Hotel_Id,Hotel,City,Link,Rating,Hotel_Type,Location,Cost_for_2
1130,Creamy Cake,Ramanathapuram,https://www.swiggy.com/restaurants/creamy-cake-ramanathapuram-coimbatore-447085,--,"Bakery, Desserts","Ramanathapuram, Ramanathapuram",200
1131,Bhavana Restaurant,Ramanathapuram,https://www.swiggy.com/restaurants/bhavana-restaurant-singanallur-ellammal-layout-coimbatore-131575,3.9,South Indian,"Singanallur, Ellammal Layout",150
1132,KOVAI CHAPATHI STALL,Ramanathapuram,https://www.swiggy.com/restaurants/kovai-chapathi-stall-ramanathapuram-coimbatore-390322,3.8,"South Indian, Arabian","Ramanathapuram, Ramanathapuram",280
1133,BISMI A1 BIRIYANI STALL,Ramanathapuram,https://www.swiggy.com/restaurants/bismi-a1-biriyani-stall-ramanathapuram-coimbatore-401882,--,Biryani,"Ramanathapuram, Ramanathapuram",200
1134,Ammayi Veedu Pot Cook,Ramanathapuram,https://www.swiggy.com/restaurants/ammayi-veedu-pot-cook-ramanathapuram-krishna-colony-coimbatore-123011,4.2,North Indian,"Ramanathapuram, Krishna Colony",300
1135,Shakespeer,Ramanathapuram,https://www.swiggy.com/restaurants/shakespeer-ramanathapuram-keelakarai-coimbatore-352326,3.7,"Indian, Chinese","Ramanathapuram, Keelakarai",200
1136,South West food truck,Ramanathapuram,https://www.swiggy.com/restaurants/south-west-food-truck-ramanathapuram-coimbatore-441650,--,"Indian, Chinese","Ramanathapuram, Ramanathapuram",280
1137,BBH Restaurant & Cafe,Ramanathapuram,https://www.swiggy.com/restaurants/bbh-restaurant-and-cafe-ramanathapuram-puliakulam-coimbatore-162061,--,"South Indian, Chinese","Ramanathapuram, Puliakulam",200
1138,Chai N Gupshup,Ramanathapuram,https://www.swiggy.com/restaurants/chai-n-gupshup-nanjundapuram-road-keelakarai-coimbatore-50642,4.3,"Fast Food, Beverages","Nanjundapuram road, Keelakarai",250
1139,Urban Treats,Ramanathapuram,https://www.swiggy.com/restaurants/urban-treats-ramanathapuram-ramnathpuram-coimbatore-82055,--,"Opens next at 12 noon, tomorrowBiryani","ramanathapuram, Ramnathpuram",200
1140,Flying Kombucha,Ramanathapuram,https://www.swiggy.com/restaurants/flying-kombucha-ramanathapuram-keelakarai-coimbatore-373490,--,"Restaurant ClosedBeverages, American","Ramanathapuram, Keelakarai",200
1141, Sai Brindhavan,Ramanathapuram,https://www.swiggy.com/restaurants/sai-brindhavan-ramanathapuram-keelakarai-coimbatore-296939,4.5,South Indian,"Ramanathapuram, Keelakarai",200
1142,Cock Ra Co,Ramanathapuram,https://www.swiggy.com/restaurants/cock-ra-co-trichy-rd-krishna-colony-coimbatore-68851,4.2,"Biryani, Arabian","Trichy Rd, Krishna Colony",250
1143,HOMELY FOODS,Ramanathapuram,https://www.swiggy.com/restaurants/homely-foods-ramanathapuram-coimbatore-377915,--,Indian,"Ramanathapuram, Ramanathapuram",300
1144,Veg Crunchy,Ramanathapuram,https://www.swiggy.com/restaurants/veg-crunchy-ramanathapuram-singai-nagar-coimbatore-315592,--,"Opens next at 5:30 pm, tomorrowSnacks","Ramanathapuram, Singai Nagar",200
1145,Sri Balaaji Arul Jothi,Ramanathapuram,https://www.swiggy.com/restaurants/sri-balaaji-arul-jothi-ramanathapuram-puliakulam-coimbatore-67647,4.3,"South Indian, North Indian","Ramanathapuram, Puliakulam",200
1146,Bon Pizza,Ramanathapuram,https://www.swiggy.com/restaurants/bon-pizza-ramanathapuram-kallimadai-coimbatore-58499,--,Italian,"Ramanathapuram, Kallimadai",300
1147,Le'andra,Ramanathapuram,https://www.swiggy.com/restaurants/leandra-nanjundapuram-road-nethaji-nagar-coimbatore-50376,4.5,"Fast Food, Beverages","Nanjundapuram Road, Nethaji Nagar",550
1148,HashTag 99 cafe,Ramanathapuram,https://www.swiggy.com/restaurants/hashtag-99-cafe-ramanathapuram-coimbatore-398265,4.1,"Continental, Beverages","Ramanathapuram, Ramanathapuram",180
1149,BIRYANI HOUSE,Ramanathapuram,https://www.swiggy.com/restaurants/biryani-house-ramanathapuram-coimbatore-413784,--,"Opens next at 11 am, tomorrowIndian","Ramanathapuram, Ramanathapuram",300
1150,Benny's Boom ice cream,Ramanathapuram,https://www.swiggy.com/restaurants/bennys-boom-ice-cream-ramanathapuram-coimbatore-413141,--,"Opens next at 11 am, tomorrowIce Cream","Ramanathapuram, Ramanathapuram",200
1151,Hot Cross Burger,Ramanathapuram,https://www.swiggy.com/restaurants/hot-cross-burger-natchi-anganna-street-olymbus-rukmani-nagar-coimbatore-71358,3.9,"American, Fast Food","Natchi Anganna Street, Olymbus, Rukmani Nagar",150
1152,Fire box,Ramanathapuram,https://www.swiggy.com/restaurants/fire-box-ramanathapuram-keelakarai-coimbatore-372577,--,"Chinese, Biryani","Ramanathapuram, Keelakarai",300
1153,K.R. BAKES AND RESTAURANT,Ramanathapuram,https://www.swiggy.com/restaurants/k-r-bakes-and-restaurant-hopes-singanallur-coimbatore-297528,--,"Opens next at 11 am, tomorrowJuices, Chinese","Hopes, Singanallur",300
1154,Madurai Manam Briyanis,Ramanathapuram,https://www.swiggy.com/restaurants/madurai-manam-briyanis-ramanathapuram-coimbatore-218300,3.3,"Opens next at 10:30 am, MondayChettinad, Chinese","Ramanathapuram, Ramanathapuram",200
1155,DMF Restaurant,Ramanathapuram,https://www.swiggy.com/restaurants/dmf-restaurant-sowripalayam-piruvu-ramanathapuram-coimbatore-64665,--,"Opens next at 12:30 pm, tomorrowBiryani, Indian","Sowripalayam piruvu, Ramanathapuram",300
1156,Mumbai kulfi,Ramanathapuram,https://www.swiggy.com/restaurants/mumbai-kulfi-ramanathapuram-nadar-colony-coimbatore-134862,--,"Opens next at 11 am, tomorrowDesserts","Ramanathapuram, Nadar Colony",100
1157,A1 pattikadu,Ramanathapuram,https://www.swiggy.com/restaurants/a1-pattikadu-ramanathapuram-coimbatore-417190,4.1,"Indian, South Indian","Ramanathapuram, Ramanathapuram",300
1158,Meat and Eat,Ramanathapuram,https://www.swiggy.com/restaurants/meat-and-eat-1863-trichy-road-ramanathapuram-coimbatore-71355,3.6,"Fast Food, Beverages","1863, Trichy Road, Ramanathapuram, Coimbatore, Ramanathapuram",200
1159,Sri Trupthi Mess Corner Kadai,Ramanathapuram,https://www.swiggy.com/restaurants/sri-trupthi-mess-corner-kadai-413-ramanathapuram-kongu-nagar-coimbatore-64788,4.3,"South Indian, North Indian","413 -
Ramanathapuram, Kongu Nagar",200
1160,K.R.BAKES AND RESTAURANT,Ramanathapuram,https://www.swiggy.com/restaurants/k-r-bakes-and-restaurant-ramanathapuram-puliakulam-coimbatore-297524,3.7,"Indian, Chinese","Ramanathapuram, Puliakulam",300
1161,Cheeze foodz,Ramanathapuram,https://www.swiggy.com/restaurants/cheeze-foodz-ramanathapuram-coimbatore-433819,--,"Opens next at 11 am, tomorrowContinental, Italian","Ramanathapuram, Ramanathapuram",280
1162,Take away,Ramanathapuram,https://www.swiggy.com/restaurants/take-away-ramanathapuram-puliakulam-coimbatore-364207,--,"Opens next at 12 noon, tomorrowThalis","Ramanathapuram, Puliakulam",200
1163,SARAN'S Cafe,Ramanathapuram,https://www.swiggy.com/restaurants/sarans-cafe-ondipudur-ramanathapuram-coimbatore-390827,--,"Opens next at 8 am, MondaySouth Indian","Ondipudur, Ramanathapuram",300
1164,OMR  BIRIYANI,Ramanathapuram,https://www.swiggy.com/restaurants/omr-biriyani-singanallur-coimbatore-275353,3.3,"Opens next at 9 am, tomorrowIndian, Arabian","SINGANALLUR, Singanallur",250
1165,LISA PIZZA,Ramanathapuram,https://www.swiggy.com/restaurants/lisa-pizza-sowripalayam-ramanathapuram-coimbatore-383225,--,"Continental, Chinese","sowripalayam, Ramanathapuram",250
1166,Maduraimanam,Ramanathapuram,https://www.swiggy.com/restaurants/maduraimanam-ramanathapuram-coimbatore-125766,3.7,"Opens next at 10:30 am, MondaySouth Indian","Ramanathapuram, Ramanathapuram",200
1167,VENKATESWARA MESS BRAMANAS,Ramanathapuram,https://www.swiggy.com/restaurants/venkateswara-mess-bramanas-ramanathapuram-tnhb-colony-coimbatore-331150,4.3,"Opens next at 7 am, tomorrowSouth Indian, Chinese","Ramanathapuram, TNHB COLONY",150
1168,Lovely Chinese Fast Food,Ramanathapuram,https://www.swiggy.com/restaurants/lovely-chinese-fast-food-ramanathapuram-puliakulam-coimbatore-366348,4.1,"Opens next at 5:30 pm, TuesdayStreet Food, Indian","Ramanathapuram, Puliakulam",100
1169,Daintys Afresh,Ramanathapuram,https://www.swiggy.com/restaurants/daintys-afresh-ramanathapuram-coimbatore-422818,--,"Opens next at 11 am, tomorrowBakery, Fast Food","Ramanathapuram, Ramanathapuram",200
1170,CHAR Grills,Coi_Ganapathy,https://www.swiggy.com/restaurants/char-grills-coi-ganapathy-ganapathypudur-coimbatore-368025,3.4,"Chinese, Continental","Coi_Ganapathy, Ganapathypudur",200
1171,Wrap and Roll,Coi_Ganapathy,https://www.swiggy.com/restaurants/wrap-and-roll-coi-ganapathy-coimbatore-422794,--,"Opens next at 3:30 pm, tomorrowLebanese, Juices","Coi Ganapathy, Coi Ganapathy",150
1172,Beatles Cafe,Coi_Ganapathy,https://www.swiggy.com/restaurants/beatles-cafe-near-sankara-hospital-saravanampatti-coimbatore-125760,4.0,"Pizzas, American","Near Sankara Hospital, Saravanampatti",150
1173,Food Factory,Coi_Ganapathy,https://www.swiggy.com/restaurants/food-factory-coi-ganapathy-coimbatore-161052,--,"Opens next at 12 noon, tomorrowTandoor, Chinese","Coi_Ganapathy, Coi Ganapathy",200
1174,D.I.E.T Carry,Coi_Ganapathy,https://www.swiggy.com/restaurants/d-i-e-t-carry-coi-ganapathy-coimbatore-408088,--,"Healthy Food, Salads","Coi Ganapathy, Coi Ganapathy",200
1175,Senbagam Snacks,Coi_Ganapathy,https://www.swiggy.com/restaurants/senbagam-snacks-coi-ganapathy-coimbatore-421220,--,"Opens next at 9 am, tomorrowSnacks","Coi Ganapathy, Coi Ganapathy",300
1176,Swaadhissht Home Food Service,Coi_Ganapathy,https://www.swiggy.com/restaurants/swaadhissht-home-food-service-gandhipuram-ganapathy-coimbatore-421065,--,"Opens next at 7 am, tomorrowSouth Indian, Biryani","Gandhipuram, Ganapathy",200
1177,OSSUM MOMOS,Coi_Ganapathy,https://www.swiggy.com/restaurants/ossum-momos-coi-ganapathy-ganapathypudur-coimbatore-319407,--,"Opens next at 12 noon, tomorrowChinese","Coi_Ganapathy, Ganapathypudur",200
1178,Suvis Family Restaurant,Coi_Ganapathy,https://www.swiggy.com/restaurants/suvis-family-restaurant-coi-ganapathy-coimbatore-418857,--,"Indian, Chinese","Coi Ganapathy, Coi Ganapathy",200
1179,Prem s Food Factory,Coi_Ganapathy,https://www.swiggy.com/restaurants/prem-s-food-factory-coi-ganapathy-coimbatore-406736,--,"Opens next at 10:30 am, tomorrowBiryani","Coi Ganapathy, Coi Ganapathy",250
1180,Suchow Chinese Restaurant,Coi_Ganapathy,https://www.swiggy.com/restaurants/suchow-chinese-restaurant-ganapathy-ganapathypudur-coimbatore-88641,4.5,"Opens next at 11:30 am, tomorrowFast Food","Ganapathy, Ganapathypudur",250
1181,Sri Kumaran Mess,Coi_Ganapathy,https://www.swiggy.com/restaurants/sri-kumaran-mess-coi-ganapathy-coimbatore-386769,--,"Restaurant ClosedSouth Indian, Chinese","Coi_Ganapathy, Coi Ganapathy",150
1182,Meet u There,Coi_Ganapathy,https://www.swiggy.com/restaurants/meet-u-there-coi-ganapathy-ganapathypudur-coimbatore-347431,--,"Arabian, Snacks","Coi_Ganapathy, Ganapathypudur",200
1183,Osm Homemade Dish,Coi_Ganapathy,https://www.swiggy.com/restaurants/osm-homemade-dish-coi-ganapathy-vinayagapuram-coimbatore-339491,--,"Opens next at 4 pm, MondaySouth Indian, Home Food","Coi_Ganapathy, Vinayagapuram",100
1184,REVATHY UNAVAGAM,Coi_Ganapathy,https://www.swiggy.com/restaurants/revathy-unavagam-coi-ganapathy-saravanampatti-coimbatore-327827,--,"Opens next at 7 am, tomorrowSouth Indian, Chinese","Coi_Ganapathy, Saravanampatti",400
